Concurso;Jogo;Mandante;Visitante;Data;1;X;2;Odds_1;Odds_X;Odds_2;P(1);P(X);P(2);Top1;Top2;Top3;P(Top1);P(Top2);P(Top3)
1235;1;FLUMINENSE/RJ;VASCO DA GAMA/RJ;Domingo;0;1;0;2,05;3,25;3,6;0,454501311;0,286685442;0,258813247;0;1;0;0,454501311;0,286685442;0,258813247
1235;2;BRASILIENSE/DF;CEILANDIA/DF;Sábado;0;0;1;1,72;3,3;4,2;0,51793722;0,269955157;0,212107623;0;0;1;0,51793722;0,269955157;0,212107623
1235;3;CAPITAL/DF;GAMA/DF;Sábado;0;1;0;1,85;3,3;3,6;0,48204504;0,270237371;0,24771759;0;1;0;0,48204504;0,270237371;0,24771759
1235;4;CRUZEIRO/MG;POUSO ALEGRE/MG;Sábado;1;0;0;1,14;6,25;15;0,794659886;0,144945963;0,060394151;1;0;0;0,794659886;0,144945963;0,060394151
1235;5;BOTAFOGO/RJ;BOAVISTA/RJ;Sábado;0;1;0;1,48;3,8;6,5;0,618365712;0,240837172;0,140797116;0;1;0;0,618365712;0,240837172;0,140797116
1235;6;INTER DE MILAO;GENOA;Sábado;1;0;0;1,33;5,25;8,5;0,709318498;0,179694019;0,110987483;1;0;0;0,709318498;0,179694019;0,110987483
1235;7;MANCHESTER UNITED;CRYSTAL PALACE;Domingo;1;0;0;1,53;4,5;5,5;0,617977528;0,21011236;0,171910112;1;0;0;0,617977528;0,21011236;0,171910112
1235;8;VALENCIA CLUB;OSASUNA;Domingo;1;0;0;2,35;3,2;3,25;0,40692556;0,298835958;0,294238482;1;0;0;0,40692556;0,298835958;0,294238482
1235;9;ARSENAL;CHELSEA;Domingo;1;0;0;1,57;3,9;5,75;0,596798446;0,240249631;0,162951923;1;0;0;0,596798446;0,240249631;0,162951923
1235;10;VILA NOVA/GO;ATLETICO/GO;Domingo;0;1;0;2,2;3;3;0,405405405;0,297297297;0,297297297;0;1;0;0,405405405;0,297297297;0,297297297
1235;11;AMERICA/MG;ATLETICO/MG;Domingo;0;1;0;3,5;3;2,15;0,263534219;0,307456588;0,429009193;0;1;0;0,429009193;0,307456588;0,263534219
1235;12;TORINO;LAZIO;Domingo;1;0;0;2,9;2,9;2,75;0,327380952;0,327380952;0,345238095;0;1;0;0,345238095;0,327380952;0,327380952
1235;13;REAL BETIS;SEVILLA;Domingo;0;1;0;1,75;3,8;4,5;0,540711462;0,249011858;0,21027668;0;1;0;0,540711462;0,249011858;0,21027668
1235;14;ROMA;JUVENTUS;Domingo;0;1;0;2,7;3,1;2,87;0,355652382;0,309761752;0,334585865;0;0;1;0,355652382;0,334585865;0,309761752
1234;1;MANCHESTER CITY;NEW CASTLE;Sábado;1;0;0;1,53;5;5;0,620347395;0,189826303;0,189826303;1;0;0;0,620347395;0,189826303;0,189826303
1234;2;CAXIAS/RS;SAO LUIZ/RS;Sábado;0;0;1;1,57;3,4;5,5;0,572338016;0,264285496;0,163376488;0;0;1;0,572338016;0,264285496;0,163376488
1234;3;CSA/AL;CRB/AL;Sábado;0;0;1;2,7;3,1;2,35;0,331136364;0,288409091;0,380454545;1;0;0;0,380454545;0,331136364;0,288409091
1234;4;CAPITAL/DF;BRASILIENSE/DF;Sábado;0;1;0;2,4;3;2,62;0,368184373;0,294547499;0,337268128;0;0;1;0,368184373;0,337268128;0,294547499
1234;5;CEILANDIA/DF;PARANOA/DF;Sábado;1;0;0;1,55;3,5;5,5;0,579819277;0,256777108;0,163403614;1;0;0;0,579819277;0,256777108;0,163403614
1234;6;CORITIBA/PR;OPERARIO/PR;Sábado;0;1;0;1,9;3,1;4;0,478949401;0,293549633;0,227500966;0;1;0;0,478949401;0,293549633;0,227500966
1234;7;CONFIANCA/SE;GUARANY/SE;Sábado;0;1;0;1,36;4;7;0,651769088;0,22160149;0,126629423;0;1;0;0,651769088;0,22160149;0,126629423
1234;8;SPORT/PE;RETRO BRASIL/PE;Sábado;1;0;0;1,61;3,4;4,75;0,551731206;0,261260953;0,18700784;1;0;0;0,551731206;0,261260953;0,18700784
1234;9;CAGLIARI CALCIO;LAZIO;Sábado;0;1;0;3,7;3;2,25;0,257879656;0,318051576;0,424068768;0;1;0;0,424068768;0,318051576;0,257879656
1234;10;FORTALEZA/CE;FERROVIARIO/CE;Sábado;1;0;0;1,22;4,75;11;0,731127125;0,18778423;0,081088645;1;0;0;0,731127125;0,18778423;0,081088645
1234;11;INTERNACIONAL/RS;YPIRANGA/RS;Sábado;1;0;0;1,3;4,1;9,5;0,687797987;0,218082289;0,094119725;1;0;0;0,687797987;0,218082289;0,094119725
1234;12;BARRA FC/SC;CAMBORIU/SC;Sábado;1;0;0;1,65;3,3;5;0,546448087;0,273224044;0,180327869;1;0;0;0,546448087;0,273224044;0,180327869
1234;13;ATLETICO MADRID;ESPANYOL;Sábado;1;0;0;1,5;4;7;0,629213483;0,235955056;0,134831461;1;0;0;0,629213483;0,235955056;0,134831461
1234;14;BOTAFOGO/PB;SERRA BRANCA/PB;Domingo;0;1;0;1,89;3,21;3,46;0,468377971;0,275773946;0,255848083;0;1;0;0,468377971;0,275773946;0,255848083
1233;1;PALMEIRAS/SP;GUARANI/SP;Domingo;0;1;0;1,27;4,75;10;0,717170573;0,191748764;0,091080663;0;1;0;0,717170573;0,191748764;0,091080663
1233;2;BAHIA/BA;JACUIPENSE/BA;Sábado;0;1;0;1,38;4,2;6,5;0,648980174;0,213236343;0,137783483;0;1;0;0,648980174;0,213236343;0,137783483
1233;3;ATHLETIC CLUB/MG;TOMBENSE/MG;Sábado;0;1;0;2,15;3;3,1;0,414900736;0,297345528;0,287753736;0;1;0;0,414900736;0,297345528;0,287753736
1233;4;DEMOCRATA GV/MG;BETIM/MG;Sábado;0;0;1;2,7;2,87;2,5;0,331041801;0,311433053;0,357525145;1;0;0;0,357525145;0,331041801;0,311433053
1233;5;ITABIRITO/MG;ATLETICO/MG;Sábado;0;0;1;9;4;1,33;0,099831113;0,224620004;0,675548883;1;0;0;0,675548883;0,224620004;0,099831113
1233;6;UBERLANDIA/MG;POUSO ALEGRE/MG;Sábado;0;0;1;2;3;3,4;0,443478261;0,295652174;0,260869565;0;0;1;0,443478261;0,295652174;0,260869565
1233;7;URT/MG;CRUZEIRO/MG;Sábado;0;0;1;8;4,1;1,36;0,113204483;0,220886796;0,665908722;1;0;0;0,665908722;0,220886796;0,113204483
1233;8;BOTAFOGO/SP;CAPIVARIANO/SP;Domingo;0;0;1;2,05;3;3,6;0,443896424;0,303329223;0,252774353;0;0;1;0,443896424;0,303329223;0,252774353
1233;9;MIRASSOL/SP;PORT DESPORT/SP;Domingo;0;0;1;1,53;3,6;7;0,608431117;0,258583225;0,132985658;0;0;1;0,608431117;0,258583225;0,132985658
1233;10;PONTE PRETA/SP;SAO PAULO/SP;Domingo;0;0;1;9;5;1,28;0,101716465;0,183089638;0,715193897;1;0;0;0,715193897;0,183089638;0,101716465
1233;11;PRIMAVERA/SP;NOROESTE/SP;Domingo;0;1;0;2,05;3,1;3,5;0,445036916;0,294298605;0,260664479;0;1;0;0,445036916;0,294298605;0,260664479
1233;12;BRAGANTINO/SP;NOVORIZONTINO/SP;Domingo;1;0;0;1,9;2,87;4,75;0,484961136;0,32105441;0,193984454;1;0;0;0,484961136;0,32105441;0,193984454
1233;13;SANTOS/SP;VELO CLUBE/SP;Domingo;1;0;0;1,2;5,25;15;0,76419214;0,174672489;0,061135371;1;0;0;0,76419214;0,174672489;0,061135371
1233;14;SAO BERNARDO/SP;CORINTHIANS/SP;Domingo;0;0;1;3,75;3,1;1,95;0,241969379;0,292704893;0,465325728;1;0;0;0,465325728;0,292704893;0,241969379
1232;1;CORINTHIANS/SP;PALMEIRAS/SP;Domingo;0;0;1;2,8;3;2,45;0,325077399;0,303405573;0,371517028;1;0;0;0,371517028;0,325077399;0,303405573
1232;2;PORT DESPORT/SP;PONTE PRETA/SP;Sábado;1;0;0;1,65;3,5;6;0,572597137;0,26993865;0,157464213;1;0;0;0,572597137;0,26993865;0,157464213
1232;3;ASA/AL;PENEDENSE AL/AL;Sábado;1;0;0;1,4;3,9;8;0,651901379;0,23401588;0,114082741;1;0;0;0,651901379;0,23401588;0,114082741
1232;4;CEILANDIA/DF;CAPITAL/DF;Sábado;0;0;1;3,1;3,4;2;0,288870008;0,263381478;0,447748513;1;0;0;0,447748513;0,288870008;0,263381478
1232;5;PORTUGUESA/RJ;NOVA IGUACU/RJ;Sábado;1;0;0;2,8;2,9;2,55;0,326418009;0,315162216;0,358419775;0;1;0;0,358419775;0,326418009;0,315162216
1232;6;ATLETICO/MG;ATHLETIC CLUB/MG;Sábado;0;1;0;1,57;3,3;6;0,575564664;0,273829249;0,150606087;0;1;0;0,575564664;0,273829249;0,150606087
1232;7;NOVORIZONTINO/SP;SAO BERNARDO/SP;Sábado;1;0;0;1,85;3;5,5;0,512024825;0,315748642;0,172226532;1;0;0;0,512024825;0,315748642;0,172226532
1232;8;GUARANI/SP;BOTAFOGO/SP;Sábado;0;0;1;2,15;3;3,7;0,435208783;0,311899628;0,25289159;0;0;1;0,435208783;0,311899628;0,25289159
1232;9;BRUSQUE/SC;CONCORDIA/SC;Sábado;0;1;0;1,27;4,75;9;0,709985468;0,189827694;0,100186838;0;1;0;0,709985468;0,189827694;0,100186838
1232;10;FLAMENGO/RJ;SAMPAIO CORREA/RJ;Sábado;1;0;0;1,04;15;34;0,909155733;0,063034797;0,027809469;1;0;0;0,909155733;0,063034797;0,027809469
1232;11;JUAZEIRENSE/BA;BAHIA/BA;Domingo;0;1;0;4,31;3,39;1,66;0,205432795;0,261184468;0,533382738;0;1;0;0,533382738;0,261184468;0,205432795
1232;12;VILA NOVA/GO;JATAIENSE/GO;Domingo;1;0;0;1,48;3,53;5,6;0,593983245;0,249035468;0,156981286;1;0;0;0,593983245;0,249035468;0,156981286
1232;13;PAYSANDU/PA;REMO/PA;Domingo;0;1;0;3,7;3,3;1,85;0,242647059;0,272058824;0,485294118;0;1;0;0,485294118;0,272058824;0,242647059
1232;14;CEARA/CE;FORTALEZA/CE;Domingo;0;1;0;2,4;3;2,75;0,37414966;0,299319728;0,326530612;0;0;1;0,37414966;0,326530612;0,299319728
1231;1;FLAMENGO/RJ;CORINTHIANS/SP;Domingo;0;0;1;1,75;3,5;4,33;0,525166768;0,262583384;0,212249848;0;0;1;0,525166768;0,262583384;0,212249848
1231;2;ATLETICO/GO;CRAC/GO;Sábado;0;1;0;1,53;3,75;5;0,583430572;0,238039673;0,178529755;0;1;0;0,583430572;0,238039673;0,178529755
1231;3;CAXIAS/RS;INTERNACIONAL/RS;Sábado;0;0;1;2,62;3;2,5;0,342309448;0,298950251;0,358740301;1;0;0;0,358740301;0,342309448;0,298950251
1231;4;GREMIO/RS;JUVENTUDE/RS;Sábado;0;1;0;1,9;3,25;3,6;0,473396723;0,276755007;0,24984827;0;1;0;0,473396723;0,276755007;0,24984827
1231;5;YPIRANGA/RS;SAO JOSE/RS;Sábado;0;1;0;1,83;2,75;5;0,492258122;0,327575405;0,180166473;0;1;0;0,492258122;0,327575405;0,180166473
1231;6;POUSO ALEGRE/MG;ATLETICO/MG;Sábado;0;0;1;8;3,7;1,45;0,11521529;0,249114142;0,635670568;1;0;0;0,635670568;0,249114142;0,11521529
1231;7;FORTALEZA/CE;IGUATU/CE;Sábado;0;1;0;1,33;4,2;8;0,674346727;0,21354313;0,112110143;0;1;0;0,674346727;0,21354313;0,112110143
1231;8;SPORT/PE;SANTA CRUZ/PE;Sábado;1;0;0;1,83;3,25;4;0,494908156;0,278671362;0,226420482;1;0;0;0,494908156;0,278671362;0,226420482
1231;9;BRAGANTINO/SP;SAO BERNARDO/SP;Domingo;0;1;0;1,6;3,7;6;0,58854719;0,254506893;0,156945917;0;1;0;0,58854719;0,254506893;0,156945917
1231;10;CEARA/CE;HORIZONTE/CE;Domingo;1;0;0;1,3;4,5;10;0,704776821;0,203602193;0,091620987;1;0;0;0,704776821;0,203602193;0,091620987
1231;11;MIRASSOL/SP;NOVORIZONTINO/SP;Domingo;0;0;1;1,9;3,25;4,33;0,494214121;0,288925179;0,2168607;0;0;1;0,494214121;0,288925179;0,2168607
1231;12;GOIAS/GO;VILA NOVA/GO;Domingo;1;0;0;2,72;2,72;2,58;0,327411168;0,327411168;0,345177665;0;1;0;0,345177665;0,327411168;0,327411168
1231;13;BOTAFOGO/RJ;FLUMINENSE/RJ;Domingo;0;0;1;2,6;2,62;3;0,349768601;0,347098612;0,303132787;0;0;1;0,349768601;0,347098612;0,303132787
1231;14;BOTAFOGO/SP;PALMEIRAS/SP;Domingo;1;0;0;7;4,1;1,48;0,134461975;0,229569225;0,6359688;0;0;1;0,6359688;0,229569225;0,134461975
1230;1;FLUMINENSE/RJ;FLAMENGO/RJ;Domingo;1;0;0;3,7;2,9;2,1;0,247661651;0,315982107;0,436356242;0;0;1;0,436356242;0,315982107;0,247661651
1230;2;PALMEIRAS/SP;SAO PAULO/SP;Sábado;1;0;0;1,66;3,3;5,25;0,549685894;0,276508662;0,173805445;1;0;0;0,549685894;0,276508662;0,173805445
1230;3;VITORIA/ES;FERROVIARIA VRD/ES;Sábado;0;0;1;1,6;3,7;4,5;0,559287874;0,241854216;0,198857911;0;0;1;0,559287874;0,241854216;0,198857911
1230;4;IMPERATRIZ/MA;MARANHAO/MA;Sábado;0;0;1;2,35;2,9;2,8;0,377411109;0,30583314;0,316755752;0;1;0;0,377411109;0,316755752;0,30583314
1230;5;SANTOS/SP;BRAGANTINO/SP;Domingo;0;1;0;2,2;3,1;3,25;0,41900603;0,297359118;0,283634851;0;1;0;0,41900603;0,297359118;0,283634851
1230;6;VITORIA/BA;BAHIA/BA;Domingo;0;0;1;2,6;3,1;2,5;0,347377857;0,291349171;0,361272972;1;0;0;0,361272972;0,347377857;0,291349171
1230;7;BRASILIENSE/DF;GAMA/DF;Domingo;0;0;1;2,1;3,38;3,25;0,441022965;0,274008351;0,284968685;0;1;0;0,441022965;0,284968685;0,274008351
1230;8;VILA NOVA/GO;ATLETICO/GO;Domingo;0;0;1;2,5;2,9;3;0,371002132;0,319829424;0,309168443;0;0;1;0,371002132;0,319829424;0,309168443
1230;9;ATLETICO/MG;CRUZEIRO/MG;Domingo;1;0;0;2,55;3,1;2,55;0,354285714;0,291428571;0,354285714;1;0;0;0,354285714;0,354285714;0,291428571
1230;10;CRICIUMA/SC;BRUSQUE/SC;Domingo;0;1;0;1,9;3,1;4,3;0,486673969;0,298284045;0,215041986;0;1;0;0,486673969;0,298284045;0,215041986
1230;11;NOVORIZONTINO/SP;BOTAFOGO/SP;Domingo;1;0;0;1,65;3,3;5;0,546448087;0,273224044;0,180327869;1;0;0;0,546448087;0,273224044;0,180327869
1230;12;INTERNACIONAL/RS;GREMIO/RS;Domingo;1;0;0;2,45;3;2,7;0,367097213;0,299796057;0,33310673;1;0;0;0,367097213;0,33310673;0,299796057
1230;13;BOAVISTA/RJ;VASCO DA GAMA/RJ;Domingo;0;0;1;5,25;3,5;1,65;0,176;0,264;0,56;1;0;0;0,56;0,264;0,176
1230;14;VELO CLUBE/SP;CORINTHIANS/SP;Domingo;0;0;1;4,5;3;1,85;0,202739726;0,304109589;0,493150685;1;0;0;0,493150685;0,304109589;0,202739726
1229;1;CORINTHIANS/SP;SAO PAULO/SP;Domingo;0;1;0;2,1;3,2;3,3;0,436183395;0,286245353;0,277571252;0;1;0;0,436183395;0,286245353;0,277571252
1229;2;CRUZEIRO/MG;UBERLANDIA/MG;Sábado;1;0;0;1,16;5,75;15;0,781816534;0,157722988;0,060460479;1;0;0;0,781816534;0,157722988;0,060460479
1229;3;PALMEIRAS/SP;MIRASSOL/SP;Sábado;1;0;0;1,6;3,6;6;0,584415584;0,25974026;0,155844156;1;0;0;0,584415584;0,25974026;0,155844156
1229;4;VOLTA REDONDA/RJ;FLAMENGO/RJ;Sábado;1;0;0;2,45;3,1;2,87;0,378217527;0,298913852;0,322868621;1;0;0;0,378217527;0,322868621;0,298913852
1229;5;ATLETICO/GO;GOIAS/GO;Domingo;0;1;0;2,2;3,1;3,6;0,430888031;0,305791506;0,263320463;0;1;0;0,430888031;0,305791506;0,263320463
1229;6;VASCO DA GAMA/RJ;NOVA IGUACU/RJ;Domingo;0;1;0;1,55;3,75;5;0,580270793;0,239845261;0,179883946;0;1;0;0,580270793;0,239845261;0,179883946
1229;7;YPIRANGA/RS;INTERNACIONAL/RS;Domingo;1;0;0;3,4;3,1;2,05;0,266289545;0,292059501;0,441650953;0;0;1;0,441650953;0,292059501;0,266289545
1229;8;ATLETICO/MG;TOMBENSE/MG;Domingo;0;1;0;1,18;5,75;13;0,771612903;0,158348387;0,07003871;0;1;0;0,771612903;0,158348387;0,07003871
1229;9;FIGUEIRENSE/SC;AVAI/SC;Domingo;0;0;1;2,5;3;2,55;0,355400697;0,296167247;0,348432056;0;1;0;0,355400697;0,348432056;0,296167247
1229;10;FORTALEZA/CE;MARACANA/CE;Domingo;1;0;0;1,26;6,66;19;0,796492262;0,150687725;0,052820013;1;0;0;0,796492262;0,150687725;0,052820013
