Concurso;Jogo;Mandante;Visitante;Data;1;X;2;p(1);p(x);p(2);p(top1);p(top2);p(top3);top1;top2;top3
1249;1;SPORTING CRISTAL/PER;PALMEIRAS/SP;Quarta-feira;0;0;0;0,172421537;0,256302285;0,571276178;0,571276178;0,256302285;0,172421537;0;0;0
1249;2;DEPORTIVO RIESTRA/ARG;GREMIO/RS;Terça-feira;0;0;0;0,349127182;0,314214464;0,336658354;0,349127182;0,336658354;0,314214464;0;0;0
1249;3;JUVENTUD/URY;ATLETICO/MG;Terça-feira;0;0;0;0,263198164;0,296097934;0,440703902;0,440703902;0,296097934;0,263198164;0;0;0
1249;4;BARCELONA/ECU;BOCA JUNIORS/ARG;Terça-feira;0;0;0;0,231343284;0,305970149;0,462686567;0,462686567;0,305970149;0,231343284;0;0;0
1249;5;ALWAYS READY/BOL;LANUS/AR;Terça-feira;0;0;0;0,549217606;0,251907809;0,198874586;0,549217606;0,251907809;0,198874586;0;0;0
1249;6;DEP RECOLETA/PRY;SANTOS/SP;Terça-feira;0;0;0;0,134831461;0,235955056;0,629213483;0,629213483;0,235955056;0,134831461;0;0;0
1249;7;CUSCO/PER;ESTUDIANTES/ARG;Terça-feira;0;0;0;0,30625;0,30625;0,3875;0,3875;0,30625;0,30625;0;0;0
1249;8;LA GUAIRA/VEN;BOLIVAR/BOL;Quarta-feira;0;0;0;0,328568552;0,297765251;0,373666197;0,373666197;0,328568552;0,297765251;0;0;0
1249;9;AUDAX ITALIANO/CHL;VASCO DA GAMA/RJ;Quarta-feira;0;0;0;0,308117717;0,293896899;0,397985384;0,397985384;0,308117717;0,293896899;0;0;0
1249;10;IND RIVADAVIA/ARG;FLUMINENSE/RJ;Quarta-feira;0;0;0;0,361896839;0,313643927;0,324459235;0,361896839;0,324459235;0,313643927;0;0;0
1249;11;SANTA FE/COL;CORINTHIANS/SP;Quarta-feira;0;0;0;0,35481521;0,290504953;0,354679836;0,35481521;0,354679836;0,290504953;0;0;0
1249;12;BOTAFOGO/RJ;RACING/ARG/ARG;Quarta-feira;0;0;0;0,434210526;0,282894737;0,282894737;0,434210526;0,282894737;0,282894737;0;0;0
1249;13;TOLIMA/COL;NACIONAL/URY;Quarta-feira;0;0;0;0,44853364;0,289821737;0,261644623;0,44853364;0,289821737;0,261644623;0;0;0
1249;14;UNIVERS CATOLICA/CHL;CRUZEIRO/MG;Quarta-feira;0;0;0;0,31372549;0,294117647;0,392156863;0,392156863;0,31372549;0,294117647;0;0;0
